<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;200101;0;rrrr;;;1.12188
EURUSD;D;200102;0;abc;1.12245;1.1162;1.11706
EURUSD;D;200103;0;1.11707;1.118;1.1123;1.11598
EURUSD;D;200105;0;1.1165;1.11689;1.1157;1.11605
EURUSD;D;200106;0;1.11602;1.12055;1.1155;1.11953
EURUSD;D;200107;0;1.11954;1.11971;1.1132;1.1154
EURUSD;D;200108;0;1.11541;1.11682;1.11;1.11127
EURUSD;D;200109;0;1.11129;1.11204;1.1092;1.11092
EURUSD;D;200110;0;1.11093;1.11292;1.1084;1.112
EURUSD;D;200112;0;1.3;1.11225;1.11108;1.1116
EURUSD;D;200113;0;1.11163;1.1147;1.1111;1.11343
EURUSD;D;200114;0;1.11344;1.11446;1.1103;1.11275
EURUSD;D;200115;0;1.11276;1.11634;1.31;1.11522
EURUSD;D;200116;0;1.11522;1.11728;1.1127;1.11369
EURUSD;D;200117;0;;1.11428;1.1084;1.1088
EURUSD;D;200119;0;;1.10981;1.01;1.10945
EURUSD;D;200120;0;;1.11024;1.1075;1.10962
EURUSD;D;200121;0;;1.11181;1.1079;1.10851
EURUSD;D;200122;0;;1.10985;1.1069;1.10957
EURUSD;D;200123;0;;1.11087;1.1035;1.10551
EURUSD;D;200124;0;;1.10617;1.1019;1.10251
EURUSD;D;200126;0;1.10239;1.10374;1.10228;1.10241
EURUSD;D;200127;0;1.10245;1.10376;1.1008;1.10188
EURUSD;D;200128;0;1.10193;1.10253;1.0996;1.10217
EURUSD;D;200129;0;1.1022;1.10277;1.0991;1.10137
EURUSD;D;200130;0;1.10138;1.10394;1.1005;1.10284
EURUSD;D;200131;0;1.10282;1.10957;1.1015;1.10917
EURUSD;D;200202;0;1.10846;1.1095;1.10788;1.10891
EURUSD;D;200203;0;1.10891;1.10891;1.10345;1.1061
EURUSD;D;200204;0;1.1062;1.10642;1.1031;1.10446
EURUSD;D;200205;0;1.10443;1.10479;1.0992;1.10004
EURUSD;D;200206;0;1.10003;1.1014;1.0963;1.09807
EURUSD;D;200207;0;1.09808;1.0985;1.094;1.0944
EURUSD;D;200209;0;1.09467;1.09514;1.09401;1.0949
EURUSD;D;200210;0;1.09484;1.09575;1.09067;1.09101
EURUSD;D;200211;0;1.09101;1.09248;1.08902;1.09189
EURUSD;D;200212;0;1.09189;1.09256;1.0863;1.08747
EURUSD;D;200213;0;1.08747;1.0889;1.0833;1.08403
EURUSD;D;200214;0;1.08413;1.08612;1.08259;1.08301
EURUSD;D;200216;0;1.0824;1.0844;1.08189;1.08403
EURUSD;D;200217;0;0.99;1.0851;1.0827;1.0835
EURUSD;D;200218;0;1.08361;1.08373;1.07838;1.07947
EURUSD;D;200219;0;1.07947;1.0812;1.078;1.08096
EURUSD;D;200220;0;1.08082;1.08211;1.07765;1.07875
EURUSD;D;200221;0;1.07867;1.08635;1.0785;1.08471
EURUSD;D;200223;0;1.0846;1.08483;1.0809;1.08385
EURUSD;D;200224;0;1.08386;1.08722;1.0804;1.08487
EURUSD;D;200225;0;1.08483;1.08902;1.0828;1.08795
EURUSD;D;200226;0;1.08797;1.09087;1.0854;1.08862
EURUSD;D;200227;0;1.08864;1.10066;1.0883;1.09963
EURUSD;D;200228;0;1.09965;1.10531;1.09489;1.10289
EURUSD;D;200301;0;1.10124;1.10739;1.10099;1.10517
EURUSD;D;200302;0;1.10502;1.11846;1.10342;1.11443
EURUSD;D;200303;0;1.11434;1.12129;1.1094;1.11765
EURUSD;D;200304;0;1.11756;1.11876;;1.1138
EURUSD;D;200305;0;1.11382;1.1245;;1.12225
EURUSD;D;200306;0;1.12226;1.13548;;1.1285
EURUSD;D;200308;0;1.129;1.13965;;1.13868
EURUSD;D;200309;0;1.13877;1.14961;;1.13991
EURUSD;D;200310;0;1.1399;1.14253;1.12733;1.13136
EURUSD;D;200311;0;1.13137;1.13667;1.1249;1.12605
EURUSD;D;200312;0;1.12611;1.13336;1.10536;1.11822
EURUSD;D;200313;0;1.11823;1.12213;1.10533;1.1105
EURUSD;D;200315;0;1.1098;1.11995;1.1047;1.11554
EURUSD;D;200316;0;1.11536;1.12367;1.10823;1.11636
EURUSD;D;200317;0;1.11635;1.31;1.09525;1.10161
EURUSD;D;200318;0;1.10153;1.10454;1.08;1.0943
EURUSD;D;200319;0;1.09433;1.09492;1.0652;1.06541
EURUSD;D;200320;0;1.0654;1.0831;1.06358;1.06929
EURUSD;D;200322;0;1.069;1.0712;1.0633;1.06883
EURUSD;D;200401;0;1.10257;1.10362;1.09009;1.095
EURUSD;D;200401;0;1.10257;1.10362;1.09009;1.095
EURUSD;D;200401;0;1.10257;1.10362;1.09009;1.095
EURUSD;D;200401;0;1.10257;1.10362;1.09009;1.095
EURUSD;D;200401;0;1.10257;1.10362;1.09009;1.095
EURUSD;D;200401;0;1.10257;1.10362;1.09009;1.095
EURUSD;D;200401;0;1.10257;1.10362;1.09009;1.095
EURUSD;D;200331;0;1.10287;1.1043;1.09246;1.10263
EURUSD;D;200401;0;1.10257;1.10362;1.09009;1.095
EURUSD;D;200402;0;1.09515;1.09645;1.0819;1.08456
EURUSD;D;200403;0;1.08459;1.08553;1.07709;1.08124
EURUSD;D;200405;0;1.082;1.08218;1.08015;1.08047
EURUSD;D;200406;0;1.08052;1.08356;1.07675;1.07989
EURUSD;D;200407;0;1.07984;1.09266;1.07884;1.08931
EURUSD;D;200408;0;1.08932;1.0897;1.08278;1.08596
EURUSD;D;200409;0;1.08596;1.09517;1.0839;1.09223
EURUSD;D;200410;0;1.09228;1.09527;1.0917;1.09286
EURUSD;D;200412;0;1.0943;1.095;1.0929;1.09308
